source,title,description,published_at,url,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_compound,sentiment_label
GoogleNews,"Wish to claim LIC bonus share, dividend payout? Here's all you need to know - Business Standard","Wish to claim LIC bonus share, dividend payout? Here's all you need to know  Business Standard",2026-05-27 06:32:32,,0.389,0.0,0.611,0.9447,Positive
GoogleNews,"India said to prepare Rs 10,000 crore LIC stake sale next month - The Economic Times","India said to prepare Rs 10,000 crore LIC stake sale next month  The Economic Times",2026-05-27 06:22:04,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,India Said to Prepare $1 Billion LIC Stake Sale Next Month - Bloomberg.com,India Said to Prepare $1 Billion LIC Stake Sale Next Month  Bloomberg.com,2026-05-27 05:54:00,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,LIC HFL Junior Assistant admit card 2026 released: Check direct link to download hall ticket here - The Times of India,LIC HFL Junior Assistant admit card 2026 released: Check direct link to download hall ticket here  The Times of India,2026-05-27 04:44:00,,0.085,0.0,0.915,0.3818,Positive
GoogleNews,"LIC, Chambal Fertilizers, Exide: Stocks to trade— Check target prices, stop loss & more - Business Today","LIC, Chambal Fertilizers, Exide: Stocks to trade— Check target prices, stop loss & more  Business Today",2026-05-27 03:13:58,,0.0,0.237,0.763,-0.7906,Negative
GoogleNews,LIC 1:1 bonus issue: Last chance to buy shares today to qualify - Check record date - Business Today,LIC 1:1 bonus issue: Last chance to buy shares today to qualify - Check record date  Business Today,2026-05-27 03:00:16,,0.332,0.0,0.668,0.9246,Positive
GoogleNews,LIC stocks jumps on 1:1 bonus issue; record date on May 29 - BusinessLine,LIC stocks jumps on 1:1 bonus issue; record date on May 29  BusinessLine,2026-05-26 11:07:07,,0.219,0.0,0.781,0.7906,Positive
GoogleNews,LIC bonus record date this Friday. Should you buy the PSU stock amid its ongoing uptrend? - Mint,LIC bonus record date this Friday. Should you buy the PSU stock amid its ongoing uptrend?  Mint,2026-05-26 10:25:46,,0.182,0.0,0.818,0.8105,Positive
GoogleNews,1:1 LIC Bonus Issue: Last Day To Buy LIC Shares For Bonus Eligibility Tomorrow; Check Record Date - Goodreturns,1:1 LIC Bonus Issue: Last Day To Buy LIC Shares For Bonus Eligibility Tomorrow; Check Record Date  Goodreturns,2026-05-26 10:25:36,,0.372,0.0,0.628,0.9545,Positive
GoogleNews,LIC 1:1 Bonus Issue Explained: Should You Buy Before The Record Date? What Shareholders Must Know - NDTV Profit,LIC 1:1 Bonus Issue Explained: Should You Buy Before The Record Date? What Shareholders Must Know  NDTV Profit,2026-05-26 10:09:41,,0.285,0.0,0.715,0.9211,Positive
